frame,time_sec,score,audio_raw,visual_norm,audio_norm,final_score
0,0.0,18,0.09614808403336267,0.23999999680000006,0.3562868252576312,0.2865147281830525
10,0.16683333333333333,17,0.11634925002034804,0.2266666636444445,0.4311443678531552,0.3084577453279288
20,0.33366666666666667,16,0.10562945841294599,0.21333333048888894,0.3914210539918056,0.2845684198900556
30,0.5005000000000001,15,0.13131552704035418,0.19999999733333337,0.48660347948281557,0.31464139019312626
40,0.6673333333333333,20,0.13428869582917247,0.26666666311111115,0.4976208687461895,0.3590483453651425
50,0.8341666666666667,21,0.1399869591251379,0.2799999962666667,0.518736381963251,0.37549455054530045
60,1.0010000000000001,23,0.1235472401678823,0.30666666257777786,0.45781727645745773,0.3671269081296498
70,1.1678333333333333,22,0.09851603815944276,0.2933333294222223,0.36506152801347647,0.32202460885872397
80,1.3346666666666667,18,0.11987330195546654,0.23999999680000006,0.44420311248264466,0.3216812430730579
90,1.5015,20,0.11990098938442462,0.26666666311111115,0.4443057111590738,0.3377222823302962
100,1.6683333333333334,17,0.1529267550070451,0.2266666636444445,0.566686154864048,0.36267446013228594
110,1.8351666666666666,18,0.1534189268313791,0.23999999680000006,0.568509949259289,0.37140397778371564
120,2.0020000000000002,68,0.15471366026446914,0.906666654577778,0.5733077200008309,0.7733230807469991
130,2.168833333333333,13,0.12361150959724249,0.17333333102222226,0.4580554335791318,0.28722217204498607
140,2.3356666666666666,13,0.10303038735625003,0.17333333102222226,0.3817899231718937,0.25671596788209083
150,2.5025,18,0.09600550244443432,0.23999999680000006,0.3557584742023794,0.28630338776095177
160,2.6693333333333333,16,0.1304704050332532,0.21333333048888894,0.4834717911096922,0.32138871473721026
170,2.8361666666666667,17,0.14311472521848592,0.2266666636444445,0.5303266477782281,0.34813065729795795
180,3.003,15,0.15173146309617677,0.19999999733333337,0.5622568751289299,0.344902748451572
190,3.1698333333333335,14,0.153771750389055,0.18666666417777783,0.569817374014595,0.3399269481125047
200,3.336666666666667,60,0.16074057912539383,0.7999999893333335,0.5956411009374608,0.7182564339749844
210,3.5035000000000003,64,0.1548172588645591,0.8533333219555558,0.5736916154959754,0.7414766393717236
220,3.6703333333333332,61,0.16237311425340314,0.813333322488889,0.6016906313438927,0.7286762460308904
230,3.8371666666666666,61,0.17579593697083412,0.813333322488889,0.6514303109232595,0.7485721178626372
240,4.0040000000000004,13,0.16729221902766495,0.17333333102222226,0.6199188908121027,0.35196755493817444
250,4.170833333333333,13,0.13124379992753318,0.17333333102222226,0.4863376871316854,0.29853507346600755
260,4.337666666666666,13,0.11762016973439172,0.17333333102222226,0.43585389435725935,0.2783415563562371
270,4.5045,61,0.132245252692336,0.813333322488889,0.49004867554923165,0.6840194637130261
280,4.671333333333333,66,0.14497073575132724,0.8799999882666668,0.5372042897722308,0.7428817088688924
290,4.838166666666667,15,0.13043000124887058,0.19999999733333337,0.48332207064244836,0.31332882665697936
300,5.005,67,0.14970274679476775,0.8933333214222224,0.5547392537676283,0.7578956943603847
310,5.171833333333334,18,0.14807044021734786,0.23999999680000006,0.5486905702794136,0.36347622619176545
320,5.338666666666667,67,0.1401053916999304,0.8933333214222224,0.5191752463098901,0.7436700913772895
330,5.5055000000000005,13,0.12512290227738002,0.17333333102222226,0.46365605791957076,0.28946242178116166
340,5.6723333333333334,65,0.1453920354975588,0.8666666551111113,0.5387654602373084,0.7355061771615902
350,5.839166666666666,13,0.1505333976669431,0.17333333102222226,0.5578173178301649,0.3271269257453993
360,6.006,65,0.16001565295523978,0.8666666551111113,0.5929548108641117,0.7571819174123114
370,6.172833333333333,13,0.16468084995250115,0.17333333102222226,0.6102421883929133,0.3480968739704987
380,6.339666666666667,14,0.1681505497834727,0.18666666417777783,0.6230995255910715,0.3612398087430953
390,6.5065,12,0.16368616295338595,0.1599999978666667,0.6065562712308321,0.3386225072123329
400,6.673333333333334,65,0.1706365662034436,0.8666666551111113,0.6323117205787785,0.7729246812981783
410,6.840166666666667,66,0.16673073171534586,0.8799999882666668,0.6178382405948899,0.775135289197956
420,7.007000000000001,16,0.14671921020928838,0.21333333048888894,0.543683445544642,0.34547337651119014
430,7.1738333333333335,66,0.1047429396257456,0.8799999882666668,0.38813596550150065,0.6832543791606004
440,7.3406666666666665,67,0.10003488576650073,0.8933333214222224,0.3706897773687216,0.6842759038008221
450,7.5075,16,0.10433423721129038,0.21333333048888894,0.3866214757726065,0.28264858860237596
460,7.674333333333333,16,0.11571915953825014,0.21333333048888894,0.4288095013839095,0.29952379884689717
470,7.841166666666667,19,0.10895093372734481,0.25333332995555563,0.40372912967356456,0.31349164984275923
480,8.008000000000001,65,0.11333782985990955,0.8666666551111113,0.4199852341141286,0.6879940867123182
490,8.174833333333334,22,0.0983217541171312,0.2933333294222223,0.36434158808613076,0.3217366328877857
500,8.341666666666667,68,0.10506620632244588,0.906666654577778,0.389333864203662,0.6997335384281316
510,8.5085,17,0.10963401630569623,0.2266666636444445,0.40626036392203047,0.2985041437554789
520,8.675333333333333,13,0.1040952063442351,0.17333333102222226,0.3857357217857444,0.2582942873276311
530,8.842166666666667,19,0.1177544225359313,0.25333332995555563,0.43635138221594494,0.32654055085971134
540,9.009,16,0.12876947816044498,0.21333333048888894,0.47716882790869963,0.31886752945681324
550,9.175833333333333,65,0.1443484505007612,0.8666666551111113,0.5348983464083268,0.7339593316299975
560,9.342666666666666,17,0.12020030600062885,0.2266666636444445,0.4454148603221217,0.31416594231551537
570,9.509500000000001,18,0.11913883188425281,0.23999999680000006,0.44148145648138015,0.3205925806725521
